code,nom,groupe,sous_groupe,energie_kcal,proteines,glucides,lipides,fibres,sucres,eau,calcium,cuivre,fer,iode,magnesium,manganese,phosphore,potassium,selenium,sodium,zinc,retinol,beta_carotene,vitamine_D,vitamine_E,vitamine_K1,vitamine_K2,vitamine_C,vitamine_B1,vitamine_B2,vitamine_B3,vitamine_B5,vitamine_B6,vitamine_B9,vitamine_B12
25601,"Salade de thon et légumes, appertisée",entrées et plats composés,salades composées et crudités,,9.15,7.74,4.7,2.7,3.08,76.5,20.7,0.1,1.1,2.0,25.1,0.1,88.4,232.0,,445.0,0.6,2.0,,0.5,1.6,,,2.75,0.04,0.053,4.45,0.16,0.29,31.0,1.45
25602,"Salade composée avec viande ou poisson, appertisée",entrées et plats composés,salades composées et crudités,,8.06,6.4,5.3,2.0,1.9,76.7,22.0,0.07,0.7,20.0,20.0,0.1,92.0,220.0,30.0,381.0,0.38,21.0,781.0,0.44,2.04,9.75,,,0.032,0.022,4.13,0.2,0.12,11.1,1.23
25605,"Champignons à la grecque, appertisés",entrées et plats composés,salades composées et crudités,,2.08,3.95,3.55,2.35,2.38,85.2,27.0,0.17,1.06,2.46,13.5,0.13,64.1,277.0,1.79,500.0,0.4,0.0,747.0,0.0,1.08,,,6.67,0.056,0.21,1.84,0.88,0.088,19.6,0.018
25606,"Salade de pommes de terre, fait maison",entrées et plats composés,salades composées et crudités,,2.68,9.9,8.2,1.3,,76.0,19.0,0.12,0.65,,15.0,0.1,52.0,254.0,,529.0,0.31,29.0,36.0,0.0,,,,10.0,0.077,0.06,0.89,0.53,0.14,7.0,0.0
25608,"Taboulé ou Salade de couscous, préemballé",entrées et plats composés,salades composées et crudités,179.0,4.88,23.7,6.7,2.5,4.9,60.3,24.0,0.16,0.88,20.0,25.0,0.4,80.0,210.0,20.0,399.0,0.65,0.0,149.0,0.0,1.26,10.6,,6.27,0.087,0.024,0.5,0.26,0.052,14.5,0.0
25609,"Salade de pomme de terre à la piémontaise, préemballée",entrées et plats composés,salades composées et crudités,130.0,4.5,8.87,8.3,0.5,1.2,75.8,13.0,0.07,0.43,20.0,16.0,0.08,72.0,300.0,20.0,433.0,0.49,21.0,93.6,0.5,3.96,10.9,,21.6,0.08,0.049,0.98,0.44,0.099,21.6,
25614,"Salade de riz, appertisée",entrées et plats composés,salades composées et crudités,,5.13,16.1,4.35,1.7,1.0,72.5,23.3,0.1,0.43,5.0,13.1,0.1,66.6,143.0,17.7,431.0,0.3,2.0,34.0,0.5,1.63,,,4.48,0.058,0.045,2.65,0.14,0.13,33.5,0.43
25615,"Salade de pâtes, végétarienne",entrées et plats composés,salades composées et crudités,,5.7,13.7,8.1,1.7,2.3,72.6,14.0,0.06,0.6,4.0,11.0,0.2,37.0,84.0,,51.0,0.4,7.0,1180.0,0.0,1.95,,,21.0,0.04,0.02,0.4,0.0,0.09,16.0,0.0
25616,"Crudité, sans assaisonnement (aliment moyen)",entrées et plats composés,salades composées et crudités,29.9,0.94,3.07,0.7,1.51,2.27,93.2,25.1,0.048,0.42,7.21,11.7,0.17,25.6,241.0,7.79,12.5,0.17,0.017,1930.0,0.093,0.34,24.0,,12.2,0.042,0.025,0.37,0.17,0.082,38.8,0.0
25619,"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",entrées et plats composés,salades composées et crudités,,5.19,14.0,9.94,1.98,2.16,70.5,19.0,0.085,0.95,3.13,23.3,0.15,69.4,193.0,5.3,378.0,0.53,11.0,494.0,0.12,1.18,,,12.3,0.064,0.057,1.77,0.28,0.14,18.4,0.14
